similarity,name,filename,md5
0.5418044402456306,hu-s1_k31_r1_search_oh0/hu-genome32.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome32.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,4ab8be95f8ff37fb12001dc5f560801e
0.3336065573770492,hu-s1_k31_r1_search_oh0/hu-genome24.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome24.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,11a4bf79ac02b50f7df8b5803d987dfb
0.30864197530864196,hu-s1_k31_r1_search_oh0/hu-genome33.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome33.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,ac792d4351fb20f2c3b82ba636b47092
0.318978102189781,hu-s1_k31_r1_search_oh0/hu-genome25.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome25.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,3f57e04454dbc89033e23ad15ff9ee12
0.537542662116041,hu-s1_k31_r1_search_oh0/hu-genome27.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome27.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,16b2c39fad341d04f15d4e6cb6dc6c4b
0.38643318599115944,hu-s1_k31_r1_search_oh0/hu-genome40.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome40.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,18d51bb28ccf98b40a0237285e29f3ac
0.1361032958199357,hu-s1_k31_r1_search_oh0/hu-genome30.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome30.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,959b17e2562887b1a5f72fce3802a625
0.19440164355418593,hu-s1_k31_r1_search_oh0/hu-genome31.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome31.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,f2afbfdc39aff5bdf7b37f7f022aaf57
0.041993388968768065,hu-s1_k31_r1_search_oh0/hu-genome41.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome41.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,b28bdeba791dc807e501cf8a24dc7847
0.38001845869866174,hu-s1_k31_r1_search_oh0/hu-genome26.fa.cdbg_ids.reads.fa.gz.megahit.fa,hu-s1_k31_r1_search_oh0/hu-genome26.fa.cdbg_ids.reads.fa.gz.megahit.fa.sig,0049e0694984bd8bd3129d2040a05e4b
