query,containment,similarity,bp,contigs,ksize,num_query_kmers,best_containment,cdbg_min_overhead,catlas_min_overhead
hu-genomes/hu-genome24.fa,0.9978991596638656,0.6350267379679144,7753072,157781,31,1955306,0.9991566537411536,0.002713157717415052,0.3530170132750836
hu-genomes/hu-genome33.fa,0.9976717112922002,0.6453313253012049,6887389,139979,31,1756987,0.9985941842483752,0.004042260668763957,0.3472825154881718
hu-genomes/hu-genome25.fa,1.0,0.6414844267726971,4019666,81783,31,1014048,0.9994950929344567,0.0017374175120653994,0.35285944874650105
hu-genomes/hu-genome27.fa,1.0,0.7373029772329247,1185047,19599,31,434089,0.9993158085093149,0.004660148730103735,0.2734739405470316
hu-genomes/hu-genome08.fa,0.9991228070175439,0.27995575765023967,31620361,785087,31,2247736,0.9990345841326561,0.00040507888800058405,0.7216614642668074
hu-genomes/hu-genome40.fa,1.0,0.7033426183844012,4921694,93204,31,1516538,0.9994592947885249,0.005639258053130786,0.2869135584082229
hu-genomes/hu-genome30.fa,0.9918084436042848,0.459696261682243,10763233,246481,31,1577006,0.9937520846464757,0.005086451260661581,0.5348042019672863
hu-genomes/hu-genome31.fa,0.9960474308300395,0.572987721691678,5752564,119928,31,1249045,0.9968191698457621,0.003935228333644002,0.42216636562269694
hu-genomes/hu-genome41.fa,0.9991649269311065,0.2857995939328795,32493526,804860,31,2370505,0.9982138826958813,0.0009292911210265521,0.7165370545223932
hu-genomes/hu-genome26.fa,0.9958711808422791,0.6651958080529509,3932281,71024,31,1215063,0.9980412538279908,0.004714275044791358,0.32687097467140996
hu-genomes/hu-genome35.fa,0.9987577639751553,0.6457831325301204,5210816,90907,31,1619929,0.9982468367440795,0.004280680105982546,0.3488947119631697
hu-genomes/hu-genome22.fa,0.999537251272559,0.7284991568296796,6793903,127233,31,2162168,0.9998311879557925,0.0014111780079802002,0.27381048757555226
hu-genomes/hu-genome23.fa,1.0,0.7871452420701168,4800099,81031,31,1876110,0.9991770205371753,0.0032991789005679052,0.2087664493330784
hu-genomes/hu-genome34.fa,1.0,0.6893052302888368,2639901,45443,31,888051,0.9990721253621695,0.0033419381219094092,0.3050138217514967
hu-genomes/hu-genome36.fa,0.998240211174659,0.42466778963129326,16595251,372618,31,2301759,0.9982652397579417,0.0014710029893735786,0.5758005180634521
hu-genomes/hu-genome19.fa,1.0,0.8564356435643564,1335969,17235,31,704657,0.9976626926291798,0.01296604398767278,0.1415390288905252
hu-genomes/hu-genome21.fa,0.9971988795518207,0.7553041018387553,2769767,44008,31,1109076,0.9982291565230876,0.01185123037513723,0.23622533419522368
hu-genomes/hu-genome20.fa,1.0,0.6456991284577491,6609499,133411,31,1693838,0.9975818230550973,0.010044021686275474,0.35188627971566094
hu-genomes/hu-genome37.fa,1.0,0.8142737896494157,3776755,49265,31,1858317,0.9996835846628966,0.0010748883707725001,0.191871863859701
hu-genomes/hu-genome29.fa,1.0,0.6589434661723819,7717393,143826,31,2236979,0.9993303468651248,0.0016011140359417722,0.3430105039862012
hu-genomes/hu-genome11.fa,0.9968132568514978,0.6446826051112943,5471564,101269,31,1612382,0.9952052305222956,0.007186317103744062,0.34059792216459134
hu-genomes/hu-genome10.fa,0.9959718026183283,0.629735752944922,6894924,124787,31,2019327,0.993398295570752,0.00784133343225264,0.3634414088853094
hu-genomes/hu-genome28.fa,0.9923371647509579,0.4524017467248908,3350184,71846,31,559657,0.9923828344861227,0.009722794273661088,0.5351589047241221
hu-genomes/hu-genome12.fa,0.9992647058823529,0.5700503355704698,6190302,129478,31,1327631,0.9959069952419008,0.004863550391786004,0.42661804487671523
hu-genomes/hu-genome13.fa,0.9986406887177164,0.7991298042059464,4625463,65839,31,2113403,0.9987834785887973,0.0016903092405148301,0.2035476832184215
hu-genomes/hu-genome38.fa,0.9961315280464217,0.6767411300919842,1767038,33333,31,506489,0.9980177259525873,0.007999042312892862,0.3409995202386291
hu-genomes/hu-genome39.fa,0.9973273942093541,0.6166345359405122,10425757,225862,31,2219447,0.9986149703056663,0.00331557650918765,0.39275738466044385
hu-genomes/hu-genome14.fa,1.0,0.5716666666666667,3235349,65974,31,702869,0.9984819361787189,0.0033415938252231397,0.44129782848736077
hu-genomes/hu-genome03.fa,0.9853235490326885,0.6200671704450041,6334054,131427,31,1524941,0.9850328635665249,0.012961266675515592,0.37182612899394624
hu-genomes/hu-genome02.fa,0.9914848323576371,0.46762048192771083,12454883,286084,31,1806969,0.9953657201645407,0.0037102010587755007,0.535530372539971
